exp_id,checked_at,ags,classification,submission_gate_pass,risk,changed_task_count,structural_delta,semantic_risk_adjusted_validity,competition_value,novelty_and_source_strength
GOLF_20260607_002_public_6029_aggressive_mix,2026-06-08T19:57:44,0.524936,strong,true,high,3,0.073506,0.961750,0.515127,0.629402
GOLF_20260607_003_bottom15_single_task_probe,2026-06-08T19:57:53,0.552112,strong,true,high,1,0.164533,0.961750,0.482891,0.665813
GOLF_20260607_004_public_notebook_full_replace,2026-06-08T19:58:27,0.831881,validation_fail,false,medium,400,0.884959,0.599325,0.981735,0.953984
