task_id,source_6154_model,source_6029_model,onnx_load_6154,onnx_load_6029,file_size_6154,file_size_6029,node_count_6154,node_count_6029,initializer_count_6154,initializer_count_6029,parameter_bytes_6154,parameter_bytes_6029,memory_footprint_proxy_6154,memory_footprint_proxy_6029,estimated_cost_6154,estimated_cost_6029,estimated_utility_6154,estimated_utility_6029,delta_memory,delta_cost,delta_utility,banned_ops_6154,banned_ops_6029,risk,recommendation,recommended_action,source_id
task015,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task015.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task015.onnx,True,True,3798,3798,1,1,1,1,3600,3600,3600,3600,4500,4500,16.588167,16.588167,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task016,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task016.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task016.onnx,True,True,158,158,1,1,1,1,80,80,80,80,90,90,20.500190,20.500190,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task017,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task017.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task017.onnx,True,True,8855,8620,71,67,28,27,1957,1796,36642,40731,37286,41354,14.473627,14.370076,4089,4068,-0.103551,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task018,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task018.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task018.onnx,True,True,29359,32157,192,219,33,31,2253,2316,477443,871210,478438,872209,11.921718,11.321216,393767,393771,-0.600502,,,high,high_risk_boundary_or_unknown,probe_bottom15_structural_difference,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task019,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task019.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task019.onnx,True,True,17887,17887,35,35,12,12,14498,14498,150554,150554,152382,152382,13.065854,13.065854,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task020,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task020.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task020.onnx,True,True,31378,31378,245,245,25,25,2136,2136,91999,91999,92269,92269,13.567536,13.567536,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task021,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task021.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task021.onnx,True,True,38267,38201,214,214,21,20,14794,14792,64156,84332,66017,86192,13.902332,13.635667,20176,20175,-0.266665,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task022,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task022.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task022.onnx,True,True,43895,43895,363,363,24,24,410,410,45222,45222,45343,45343,14.277989,14.277989,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task023,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task023.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task023.onnx,True,True,33302,20163,377,395,20,14,262,104,73423,1210604,73469,1210625,13.795381,10.993353,1137181,1137156,-2.802028,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task024,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task024.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task024.onnx,True,True,3233,3233,27,27,11,11,505,505,9325,9325,9585,9585,15.832045,15.832045,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
