task_id,arc_id,solver_name,solver_exists,solver_lines,dsl_call_count,dsl_primitives,train_pass,train_total,test_pass,test_total,arc_gen_pass,arc_gen_total,official_pass,all_examples_pass,current_node_count,current_memory_proxy,current_cost_proxy,current_utility_proxy,compile_priority,errors
task062,2bcee788,solve_2bcee788,true,28,26,"add,argmax,argmin,asobject,astuple,branch,compose,first,hline,hmirror,last,matcher,mostcolor,multiply,objects,paint,position,replace,sfilter,shape,shift,subgrid,ulcorner,vmirror",4,4,1,1,227,262,true,false,216,27740,28674,14.736254,0.39475946414639285,arc-gen[0]:output_mismatch;arc-gen[6]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[18]:output_mismatch;arc-gen[30]:output_mismatch;arc-gen[38]:output_mismatch;arc-gen[46]:output_mismatch;arc-gen[61]:output_mismatch
task260,a78176bb,solve_a78176bb,true,26,24,"apply,colorfilter,combine,compose,difference,fill,fork,lbind,mapply,matcher,objects,other,palette,rbind,remove,replace,sfilter",3,3,1,1,262,262,true,true,28,12716,12857,15.538356,0.39423515371184376,
task104,4522001f,solve_4522001f,true,24,22,"astuple,branch,canvas,combine,contained,first,initset,objects,paint,rot180,rot270,rot90,shape,shift,toindices,upscale",2,2,1,1,4,4,true,true,21,4768,5758,16.341655,0.39356115778055084,
task383,f1cefba8,solve_f1cefba8,true,32,30,"asindices,combine,difference,fill,first,fork,intersection,leastcolor,lowermost,mapply,matcher,objects,ofcolor,other,palette,power,remove,sfilter,shift,subgrid,ulcorner,uppermost,x7",3,3,1,1,214,262,true,false,57,127288,127317,13.245565,0.39181451061472344,arc-gen[0]:output_mismatch;arc-gen[1]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[17]:output_mismatch;arc-gen[31]:output_mismatch;arc-gen[33]:output_mismatch;arc-gen[36]:output_mismatch;arc-gen[45]:output_mismatch
task086,3befdf3e,solve_3befdf3e,true,28,26,"chain,compose,fill,fork,initset,lbind,leastcolor,mapply,objects,other,palette,remove,switch,underfill",3,3,1,1,255,262,true,false,42,26124,26349,14.820814,0.39150713856097025,arc-gen[0]:output_mismatch;arc-gen[31]:output_mismatch;arc-gen[66]:output_mismatch;arc-gen[128]:output_mismatch;arc-gen[129]:output_mismatch;arc-gen[179]:output_mismatch;arc-gen[196]:output_mismatch
task394,f9012d9b,solve_f9012d9b,true,24,22,"apply,asobject,astuple,chain,extract,hperiod,hsplit,lbind,mapply,mfilter,neighbors,objects,ofcolor,paint,rbind,subgrid,vperiod,vsplit",3,3,1,1,220,262,true,false,80,4992,5027,16.477421,0.38738993925875354,arc-gen[3]:StopIteration;arc-gen[5]:StopIteration;arc-gen[14]:StopIteration;arc-gen[17]:StopIteration;arc-gen[18]:output_mismatch;arc-gen[21]:StopIteration;arc-gen[28]:StopIteration;arc-gen[32]:output_mismatch
task357,e179c5f4,solve_e179c5f4,true,25,23,"astuple,crop,decrement,fill,first,height,hmirror,merge,ofcolor,repeat,replace,shoot,subgrid,ulcorner,urcorner,width",3,3,1,1,4,9,true,false,24,6749,6789,16.176941,0.3836112580131152,arc-gen[0]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[7]:output_mismatch
task323,d06dbe63,solve_d06dbe63,true,25,23,"apply,astuple,center,combine,connect,fill,interval,lbind,mapply,ofcolor,rot180,shift,subtract,toivec",2,2,1,1,157,169,true,false,10,5297,5942,16.310199,0.37781743721837185,arc-gen[16]:output_mismatch;arc-gen[37]:output_mismatch;arc-gen[41]:output_mismatch;arc-gen[49]:output_mismatch;arc-gen[65]:output_mismatch;arc-gen[69]:output_mismatch;arc-gen[103]:output_mismatch;arc-gen[106]:output_mismatch
task149,6773b310,solve_6773b310,true,19,17,"apply,astuple,compress,downscale,fill,fork,insert,matcher,mfilter,neighbors,rbind,replace,shift",4,4,1,1,262,262,true,true,4,508,599,18.604738,0.3761918587126735,
task018,0e206a2e,solve_0e206a2e,true,37,35,"apply,argmax,astuple,chain,combine,compose,cover,fork,lbind,mapply,merge,objects,paint,palette,product,rbind,remove,sfilter,totuple",3,3,1,1,68,262,true,false,192,477441,478435,11.921724,0.37366501827078785,arc-gen[0]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[6]:output_mismatch;arc-gen[8]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[10]:output_mismatch
