task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action,delta_basis
task208,E:\kagglegolf\data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task208.onnx,SRC_HF_ROGERMT_6273_SUBMISSION,GOLF_20260608_043_rogermt_task208_after020_probe,score_delta_stack,,,4971,,0.670000,true,medium,1,stack_probe,0.670000
task128,E:\kagglegolf\data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task128.onnx,SRC_HF_ROGERMT_6273_SUBMISSION,GOLF_20260608_040_rogermt_task128_after020_probe,score_delta_stack,,,1997,,0.150000,true,medium,2,stack_probe,0.150000
