path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,saved_parameters,changed,status,error
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task024.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task024.onnx,27,27,11,11,260,260,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task025.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task025.onnx,127,127,28,28,65,65,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task026.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task026.onnx,13,13,8,8,34,34,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task027.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task027.onnx,16,16,12,12,37,37,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task028.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task028.onnx,11,11,10,10,329,329,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task029.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task029.onnx,88,88,15,15,170,170,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task030.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task030.onnx,64,64,19,19,170,170,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task031.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task031.onnx,26,26,13,13,58,58,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task032.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task032.onnx,19,19,10,10,69,69,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task033.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task033.onnx,16,16,6,6,49,49,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task034.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task034.onnx,79,79,16,16,2847,2847,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task035.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task035.onnx,38,38,16,16,51,51,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task036.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task036.onnx,56,56,17,17,130,112,0,0,2,18,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task037.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task037.onnx,27,27,13,13,8326,8326,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task038.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task038.onnx,17,17,13,13,38,38,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task039.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task039.onnx,14,14,9,9,28,28,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task040.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task040.onnx,36,36,20,20,62,62,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task041.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task041.onnx,20,20,7,7,29,29,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task042.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task042.onnx,52,52,22,22,727,727,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task043.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task043.onnx,9,9,13,13,138,138,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task044.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task044.onnx,490,490,21,21,63,63,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task045.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task045.onnx,14,14,9,9,25,25,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task046.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task046.onnx,73,73,26,26,866,866,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task047.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task047.onnx,30,30,8,8,36,36,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task048.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task048.onnx,52,52,15,15,66,66,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task049.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task049.onnx,29,29,12,12,150,150,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task050.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task050.onnx,21,21,9,9,250,250,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task051.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task051.onnx,58,58,12,12,78,70,0,0,1,8,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task052.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task052.onnx,11,11,12,12,43,43,0,0,0,0,False,reverted,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Pad): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (28) vs (30)
"
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task053.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task053.onnx,1,1,1,1,30,30,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task054.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task054.onnx,107,107,16,16,161,161,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task055.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task055.onnx,166,166,37,37,994,994,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task056.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task056.onnx,9,9,3,3,77,77,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task057.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task057.onnx,16,16,6,6,20,20,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task058.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task058.onnx,16,16,11,11,6445,6426,0,0,1,19,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task059.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task059.onnx,20,20,16,16,2547,2547,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task060.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task060.onnx,20,20,18,18,181,181,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task061.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task061.onnx,9,9,12,12,1972,1972,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task062.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task062.onnx,216,216,29,29,934,934,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task063.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task063.onnx,34,34,13,13,32,32,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task064.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task064.onnx,68,68,20,20,92,92,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task065.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task065.onnx,37,37,12,12,77,63,0,0,1,14,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task066.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task066.onnx,326,326,21,21,138,138,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task067.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task067.onnx,7,7,4,4,33,33,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task068.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task068.onnx,24,24,11,11,27,27,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task069.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task069.onnx,380,380,41,41,1392,1392,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task070.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task070.onnx,71,71,16,16,78,78,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task071.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task071.onnx,49,49,13,13,53,53,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task072.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task072.onnx,11,11,8,8,49,49,0,0,0,0,False,unchanged,
