path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,saved_parameters,changed,status,error
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task102.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task102.onnx,48,48,25,25,531,531,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task103.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task103.onnx,11,11,9,9,34,34,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task104.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task104.onnx,21,21,16,16,990,990,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task105.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task105.onnx,63,63,18,18,68,68,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task106.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task106.onnx,13,13,16,16,125,125,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task107.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task107.onnx,52,52,30,30,13681,13681,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task108.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task108.onnx,1,1,1,1,1800,1800,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task109.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task109.onnx,39,39,14,14,954,954,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task110.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task110.onnx,163,163,52,52,346,346,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task111.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task111.onnx,15,15,8,8,25,25,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task112.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task112.onnx,44,44,18,18,106,106,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task113.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task113.onnx,1,1,1,1,30,30,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task114.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task114.onnx,26,26,20,20,158,158,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task115.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task115.onnx,34,34,20,20,80,77,0,0,1,3,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task116.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task116.onnx,1,1,1,1,30,30,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task117.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task117.onnx,74,74,40,40,619,157,0,0,3,462,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task118.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task118.onnx,67,67,13,13,142,142,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task119.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task119.onnx,140,140,22,22,100,100,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task120.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task120.onnx,1,1,2,2,910,910,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task121.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task121.onnx,24,24,17,17,46,46,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task122.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task122.onnx,1,1,2,2,2510,2510,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task123.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task123.onnx,17,17,12,12,948,948,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task124.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task124.onnx,52,52,16,16,353,353,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task125.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task125.onnx,28,28,9,9,246,246,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task126.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task126.onnx,29,29,11,11,47,47,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task127.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task127.onnx,1,1,1,1,900,900,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task128.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task128.onnx,28,28,13,13,102,84,0,0,2,18,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task129.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task129.onnx,8,8,6,6,29,29,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task130.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task130.onnx,10,10,4,4,98,98,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task131.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task131.onnx,103,103,17,17,951,951,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task132.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task132.onnx,38,38,16,16,64,64,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task133.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task133.onnx,121,121,54,54,425,425,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task134.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task134.onnx,75,75,26,26,88,80,0,0,1,8,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task135.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task135.onnx,2,2,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task136.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task136.onnx,25,25,9,9,136,136,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task137.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task137.onnx,36,36,9,9,76,76,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task138.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task138.onnx,99,99,17,17,125,125,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task139.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task139.onnx,33,33,22,22,174,174,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task140.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task140.onnx,2,2,4,4,8,8,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task141.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task141.onnx,21,21,10,10,69,69,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task142.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task142.onnx,1,1,1,1,1800,1800,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task143.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task143.onnx,24,24,15,15,57,57,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task144.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task144.onnx,8,8,9,9,46,46,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task145.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task145.onnx,325,325,34,34,933,933,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task146.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task146.onnx,29,29,10,10,24,24,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task147.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task147.onnx,1,1,2,2,910,910,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task148.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task148.onnx,110,110,16,16,353,353,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task149.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task149.onnx,4,4,2,2,91,91,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task150.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task150.onnx,11,11,6,6,36,36,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task151.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task151.onnx,1,1,2,2,910,910,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task152.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task152.onnx,1,1,1,1,1800,1800,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task153.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task153.onnx,107,107,45,45,181,181,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task154.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task154.onnx,46,46,14,14,990,990,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task155.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task155.onnx,11,11,6,6,36,36,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task156.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task156.onnx,375,375,72,72,1898,1898,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task157.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task157.onnx,3232,3232,68,68,651,651,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task158.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task158.onnx,292,292,56,56,366,366,0,0,0,0,False,reverted,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Mul, node name: kerbc_tlbr_2): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (2)
(op_type:Mul, node name: kerbc_brtl_2): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (2)
(op_type:Mul, node name: kerbc_trbl_2): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (2)
(op_type:Mul, node name: kerbc_bltr_2): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (2)
(op_type:Mul, node name: kerbc_tlbr_3): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (3)
(op_type:Mul, node name: kerbc_brtl_3): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (3)
(op_type:Mul, node name: kerbc_trbl_3): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (3)
(op_type:Mul, node name: kerbc_bltr_3): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 3: (1) vs (3)
"
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task159.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task159.onnx,55,55,16,16,4105,4105,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task160.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task160.onnx,19,19,10,10,65,65,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task161.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task161.onnx,39,39,9,9,28,28,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task162.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task162.onnx,19,19,11,11,43,43,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task163.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task163.onnx,68,68,21,21,1645,1645,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task164.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task164.onnx,1,1,1,1,30,30,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task165.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task165.onnx,25,25,15,15,994,994,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task166.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task166.onnx,11,11,8,8,37,37,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task167.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task167.onnx,9,9,9,9,294,294,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task168.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task168.onnx,45,45,10,10,185,185,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task169.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task169.onnx,168,168,62,62,655,655,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task170.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task170.onnx,681,681,33,33,249,249,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task171.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task171.onnx,1,1,2,2,910,910,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task172.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task172.onnx,1,1,1,1,30,30,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task173.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task173.onnx,68,68,24,24,217,217,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task174.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task174.onnx,790,790,24,24,74,74,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task175.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task175.onnx,23,23,12,12,2748,2748,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task176.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task176.onnx,7,7,9,9,120,120,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task177.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task177.onnx,33,33,16,16,102,102,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task178.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task178.onnx,47,47,20,20,87,87,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task179.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task179.onnx,1,1,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task180.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task180.onnx,6,6,5,5,922,922,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task181.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task181.onnx,21,21,21,21,86,86,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task182.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task182.onnx,168,168,40,40,1039,1039,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task183.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task183.onnx,55,55,8,8,28,28,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task184.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task184.onnx,71,71,20,20,9975,9975,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task185.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task185.onnx,242,242,19,19,67,67,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task186.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task186.onnx,11,11,5,5,46,46,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task187.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task187.onnx,85,85,13,13,912,912,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task188.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task188.onnx,41,41,15,15,48,48,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task189.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task189.onnx,110,110,54,54,259,259,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task190.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task190.onnx,63,63,40,40,178,178,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task191.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task191.onnx,200,200,28,28,487,487,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task192.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task192.onnx,17,17,10,10,70,70,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task193.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task193.onnx,14,14,12,12,61,61,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task194.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task194.onnx,1,1,1,1,1800,1800,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task195.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task195.onnx,33,33,10,10,1919,1919,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task196.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task196.onnx,31,31,13,13,66,66,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task197.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task197.onnx,18,18,7,7,16,16,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task198.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task198.onnx,51,51,14,14,913,913,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task199.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task199.onnx,22,22,14,14,54,54,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task200.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task200.onnx,38,38,17,17,54,54,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task201.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task201.onnx,135,135,20,20,308,308,0,0,0,0,False,unchanged,
