task,source,status,before_cost,after_cost,before_points,after_points,delta_points,changed,reverted,prune_saved,dedup_saved,scalar_saved,axis_saved,const_axis_saved,identity_count,identity_rewired,n_pass,n_fail,error
task267.onnx,override,ok,1255,1207,17.86510915,17.90410678,0.03899763,True,False,0,0,48,0,0,0,0,264,0,
task268.onnx,override,ok,22386,22386,14.98380896,14.98380896,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task269.onnx,override,ok,8602,8602,15.94024999,15.94024999,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task270.onnx,override,ok,25501,25501,14.85352705,14.85352705,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task271.onnx,base,ok,28991,28991,14.72525928,14.72525928,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task272.onnx,override,ok,460,460,18.86877351,18.86877351,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task273.onnx,override,ok,5937,5937,16.31104077,16.31104077,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task274.onnx,override,ok,8581,8581,15.94269426,15.94269426,0.00000000,False,False,0,0,0,0,0,0,0,269,0,
task275.onnx,override,ok,83879,83879,13.66286944,13.66286944,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task276.onnx,base,ok,10,10,22.69741491,22.69741491,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task277.onnx,override,ok,14617,14617,15.41005949,15.41005949,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task278.onnx,override,ok,30494,30494,14.67471478,14.67471478,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task279.onnx,override,ok,26330,26330,14.82153575,14.82153575,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task280.onnx,override,ok,85706,85706,13.64132189,13.64132189,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task281.onnx,override,ok,88615,88615,13.60794358,13.60794358,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task282.onnx,base,ok,900,900,18.19760524,18.19760524,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task283.onnx,base,ok,910,910,18.18655540,18.18655540,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task284.onnx,override,ok,101133,62853,13.47580824,13.95144605,0.47563782,True,False,0,0,0,1740,0,0,0,266,0,
task285.onnx,override,ok,395466,392856,12.11217990,12.11880159,0.00662168,True,False,0,0,0,2610,0,0,0,265,0,
task286.onnx,override,ok,162200,162199,13.00341458,13.00342074,0.00000617,True,False,1,0,0,0,0,0,0,265,0,
task287.onnx,override,ok,22566,22566,14.97580037,14.97580037,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task288.onnx,override,ok,31807,31807,14.63255833,14.63255833,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task289.onnx,override,ok,24972,24972,14.87448952,14.87448952,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
